incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_cause_score,gpt_4o_cause_score,gpt_4o_mini_cause_score,qwen25_15b_cause_score,qwen25_3b_cause_score,finetuned_risk_score,gpt_4o_risk_score,gpt_4o_mini_risk_score,qwen25_15b_risk_score,qwen25_3b_risk_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_15b_position,qwen25_3b_position
a6b9d0e6-9a3b-4cc6-a7dc-de9ada1164eb,Malware,3291,15.279999999999998,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,19,22,16,12,11,17,23,11,6,15,2,1,3,5,4
af51d030-2c32-4e70-ad73-b43a70419d1d,Malware,3051,15.540000000000006,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,16,23,19,9,6,16,21,18,12,20,3,1,2,5,4
ae822372-2d87-4ed6-8117-26a463444d5a,Malware,2624,15.520000000000008,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,16,22,19,12,7,16,19,18,6,13,3,1,2,5,4
cf2e6a5f-44e9-4c07-8e03-36a123adb644,Malware,5821,15.320000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,23,19,10,9,3,20,17,9,13,5,1,2,4,3
bb9ccd67-99cd-4084-a9a6-2f8a416f9e83,Malware,125,15.350000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,19,23,15,7,10,10,10,11,18,12,2,1,3,4,5
9ebbbbbc-8635-400f-bc9a-14826ceb9eaa,Malware,4571,15.160000000000004,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,24,17,4,12,3,16,19,12,9,5,1,2,4,3
d31e4b40-1a16-44d7-9475-ab1daa153067,Malware,87,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,17,14,12,7,15,18,13,9,16,2,1,3,5,4
bd59a5df-bcf0-4ac7-85c5-32b4bfc79088,Malware,1532,15.600000000000005,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,18,15,24,12,7,18,19,22,13,16,2,3,1,4,5
067d4e83-d7e7-4f74-9f99-80e4f2002c55,Malware,134,15.650000000000002,Qwen2.5 1.5B,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,19,18,16,17,7,13,15,13,18,10,3,2,4,1,5
1ac23485-e11f-445c-a918-19b5a997d926,Malware,98,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,20,23,18,15,13,12,13,16,19,15,4,1,2,3,5
f3626386-2102-4f0d-9f35-0cbbd9f36b08,Malware,3609,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,16,19,7,9,3,18,15,12,14,5,2,1,4,3
66145fd1-4538-412d-8cb0-970138eb22a2,Malware,24,15.36000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,19,23,20,11,14,13,21,17,16,8,3,1,2,4,5
50b80b6b-017c-482a-864b-c4f4aacb8404,Malware,32,15.0,Qwen2.5 3B,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,GPT-4o,16,13,15,11,17,11,12,13,16,18,4,5,2,3,1
24d0cafd-f9fe-45c1-926a-c64bdaf0593c,Malware,74,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,16,23,19,11,18,11,12,13,14,10,4,1,2,5,3
e971f9b3-0269-4a8f-9b14-51062ea8c809,Malware,215,15.0,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,20,14,15,8,13,12,15,15,19,9,1,3,2,4,5
b89b5aef-2860-4ba6-81fc-3fafcdfee12e,Malware,2230,15.560000000000008,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,16,23,20,9,13,16,17,14,15,10,3,1,2,4,5
8098921e-6481-465f-846c-396bbcfd2016,Malware,27,15.36000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,15,19,23,12,7,13,17,16,9,12,3,2,1,4,5
6baeec40-6264-40ff-9899-c1405c206245,Malware,135,15.25,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,23,15,18,11,8,16,15,19,11,8,1,3,2,4,5
c7de8dc0-7d5b-40ee-82ef-7f2c243e5580,Malware,236,15.400000000000004,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,15,19,20,5,10,11,16,14,8,17,4,1,2,5,3
e99cb7e5-bf03-411b-a45e-84fadd5b59c5,Malware,94,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,23,17,9,13,9,12,9,10,9,2,1,3,5,4
8eab25bf-6199-43c7-a9c4-d23f58930554,Malware,4012,15.280000000000005,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,GPT-4o-mini,Finetuned,3,19,13,13,13,3,18,9,10,12,5,1,4,3,2
debe62cb-4760-47d1-a40f-eda3e0cafdc3,Malware,3325,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,20,21,8,10,3,17,14,10,9,5,1,2,4,3
36ede2a6-9952-40c3-919e-8202787d33e9,Malware,85,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,16,22,23,13,7,13,16,13,19,10,4,1,2,3,5
bea2a0d7-8879-4ab0-8a38-288635c22c33,Malware,3964,15.680000000000007,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,23,20,7,9,3,19,21,11,16,5,1,2,4,3
6226ecd1-aed3-4709-894a-c85a22f768fd,Malware,27,15.36000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,15,22,23,9,6,15,19,17,10,16,3,1,2,5,4
56b85ca7-6c85-49ca-bd30-da193dd93cab,Normal,253,15.300000000000004,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,23,21,16,17,11,15,13,14,7,8,1,2,3,4,5
c68496de-92d8-40e6-9e8d-86223681feb5,Malware,1015,15.280000000000005,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,16,25,20,5,7,18,13,13,11,16,2,1,3,5,4
e846baf0-aba3-4838-a6f6-0f5cae2b2b17,Malware,109,15.100000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,19,18,19,7,12,11,12,11,17,10,3,2,1,4,5
453d4eb1-7fca-43ec-b1c5-c5ad2649ee9a,Malware,3502,15.640000000000004,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,3,19,15,12,7,3,17,19,8,14,5,1,2,4,3
e58728b7-199b-4636-9be1-148c043f465a,Malware,3890,15.520000000000007,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,3,16,15,9,6,3,21,19,14,17,5,1,2,3,4
d8ca5822-7e72-4f52-a816-8cca6b48f8b9,Malware,118,15.350000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,23,16,12,8,15,17,16,6,19,2,1,3,5,4
4e3342c1-dba9-46b3-8982-c20b92a35558,Malware,110,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,14,19,17,20,8,16,21,20,11,16,4,1,2,3,5
9fcdd530-e799-41d4-9739-1f72c9609623,Normal,559,15.200000000000008,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,16,18,21,11,7,19,21,18,7,11,3,2,1,4,5
05d18eb8-03ab-498c-8900-9998f84f4bf5,Malware,32,15.35,GPT-4o,Qwen2.5 1.5B,Finetuned,GPT-4o-mini,Qwen2.5 3B,16,23,14,19,9,11,11,12,9,14,3,1,4,2,5
11f7ab24-7da5-461f-a313-344e58898652,Malware,107,15.100000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,18,21,14,12,8,11,11,15,16,14,3,1,2,4,5
4430ab67-9bae-43fb-91c5-e19a7252449d,Malware,109,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,18,17,11,14,12,13,16,15,12,13,2,1,3,4,5
