incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_score,gpt_4o_score,gpt_4o_mini_score,qwen25_score,qwen25_3b_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_position,qwen25_3b_position
a6b9d0e6-9a3b-4cc6-a7dc-de9ada1164eb,Malware,3291,15.279999999999998,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,8,6,7,3,2,1,3,2,4,5
af51d030-2c32-4e70-ad73-b43a70419d1d,Malware,3051,15.540000000000006,GPT-4o-mini,GPT-4o,Qwen2.5,Finetuned,Qwen2.5 3b,4,7,8,5,2,4,2,1,3,5
ae822372-2d87-4ed6-8117-26a463444d5a,Malware,2624,15.520000000000008,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,Finetuned,2,6,8,3,7,5,3,1,4,2
cf2e6a5f-44e9-4c07-8e03-36a123adb644,Malware,5821,15.320000000000006,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,Finetuned,1,7,8,5,4,5,2,1,3,4
bb9ccd67-99cd-4084-a9a6-2f8a416f9e83,Malware,125,15.350000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5,Qwen2.5 3b,5,8,6,4,2,3,1,2,4,5
9ebbbbbc-8635-400f-bc9a-14826ceb9eaa,Malware,4571,15.160000000000004,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,Finetuned,1,6,5,3,2,5,1,2,3,4
d31e4b40-1a16-44d7-9475-ab1daa153067,Malware,87,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,9,8,7,2,5,1,2,3,5,4
bd59a5df-bcf0-4ac7-85c5-32b4bfc79088,Malware,1532,15.600000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5,Qwen2.5 3b,5,8,7,4,2,3,1,2,4,5
067d4e83-d7e7-4f74-9f99-80e4f2002c55,Malware,134,15.650000000000002,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5,Qwen2.5 3b,7,8,9,4,3,3,2,1,4,5
1ac23485-e11f-445c-a918-19b5a997d926,Malware,98,15.1,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,8,5,6,2,4,1,3,2,5,4
f3626386-2102-4f0d-9f35-0cbbd9f36b08,Malware,3609,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,Finetuned,1,7,8,3,4,5,2,1,4,3
66145fd1-4538-412d-8cb0-970138eb22a2,Malware,24,15.36000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5,Qwen2.5 3b,7,5,8,4,3,2,3,1,4,5
50b80b6b-017c-482a-864b-c4f4aacb8404,Malware,32,15.0,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,6,3,4,1,2,3,5,4
24d0cafd-f9fe-45c1-926a-c64bdaf0593c,Malware,74,15.1,Qwen2.5 3b,GPT-4o,Qwen2.5,GPT-4o-mini,Finetuned,3,6,4,5,8,5,2,4,3,1
e971f9b3-0269-4a8f-9b14-51062ea8c809,Malware,215,15.0,GPT-4o,Qwen2.5 3b,GPT-4o-mini,Finetuned,Qwen2.5,4,8,6,3,7,4,1,3,5,2
b89b5aef-2860-4ba6-81fc-3fafcdfee12e,Malware,2230,15.560000000000008,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Finetuned,Qwen2.5,4,7,8,2,5,4,2,1,5,3
8098921e-6481-465f-846c-396bbcfd2016,Malware,27,15.36000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Finetuned,Qwen2.5,4,8,6,2,5,4,1,2,5,3
6baeec40-6264-40ff-9899-c1405c206245,Malware,135,15.25,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3b,Qwen2.5,5,7,6,2,4,3,1,2,5,4
c7de8dc0-7d5b-40ee-82ef-7f2c243e5580,Malware,236,15.400000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Finetuned,Qwen2.5,5,8,9,3,7,4,2,1,5,3
e99cb7e5-bf03-411b-a45e-84fadd5b59c5,Malware,94,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,6,5,3,4,1,2,3,5,4
8eab25bf-6199-43c7-a9c4-d23f58930554,Malware,4012,15.280000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,Finetuned,1,5,6,2,4,5,2,1,4,3
debe62cb-4760-47d1-a40f-eda3e0cafdc3,Malware,3325,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,Finetuned,1,8,7,3,5,5,1,2,4,3
36ede2a6-9952-40c3-919e-8202787d33e9,Malware,85,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Finetuned,Qwen2.5,4,8,6,2,5,4,1,2,5,3
bea2a0d7-8879-4ab0-8a38-288635c22c33,Malware,3964,15.680000000000007,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,Finetuned,1,7,8,4,3,5,2,1,3,4
