incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_cause_score,gpt_4o_cause_score,gpt_4o_mini_cause_score,qwen25_15b_cause_score,qwen25_3b_cause_score,finetuned_risk_score,gpt_4o_risk_score,gpt_4o_mini_risk_score,qwen25_15b_risk_score,qwen25_3b_risk_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_15b_position,qwen25_3b_position
05d41bc8-f429-41ae-a45f-334de54e2ed0,Malware,122,15.350000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,19,23,24,17,5,16,15,12,11,9,3,1,2,4,5
0e7511c8-4565-4f54-aa04-68daf53d6aff,Malware,3757,15.000000000000004,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,12,20,23,5,12,13,10,11,18,12,3,2,1,5,4
11200afd-8dac-4314-818a-5e778864d94b,Malware,94,15.35,Qwen2.5 1.5B,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,16,15,14,22,9,14,12,11,10,14,2,3,4,1,5
178945c8-5e6d-4a58-b268-f3a592627504,Malware,4666,15.080000000000005,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,11,19,22,8,5,15,20,23,5,11,3,2,1,5,4
19561f12-3209-4afb-938f-8ca4c1be4ee6,Malware,132,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,21,17,20,8,11,18,15,12,11,17,1,3,2,5,4
1d4ee1b3-df0f-4483-886e-ab8b5ffca477,Malware,116,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,21,15,18,10,14,17,13,14,13,12,1,3,2,5,4
1ea0a1a2-bec7-46a0-9990-53ac0a943e50,Malware,85,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,17,22,21,14,11,20,17,15,18,15,2,1,3,4,5
1f0cb5a9-2c53-4e25-833f-39989f396c3a,Malware,96,15.150000000000002,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,21,23,16,12,11,14,18,12,15,17,2,1,3,5,4
20c9c604-96d1-49e1-9a97-e8a3566486a5,Malware,139,15.4,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,23,15,20,12,8,19,15,12,10,15,1,3,2,5,4
2270797e-b4e6-48a4-b43a-d2bc56c5e679,Malware,2586,15.080000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,14,23,20,5,7,10,21,19,9,13,3,1,2,5,4
230b97be-1b4b-4db1-9260-b3881d4f7340,Malware,147,15.25,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,18,23,15,9,12,12,19,16,9,8,3,1,2,5,4
27c08877-ebbd-4ee4-907b-bea0a16317d5,Malware,299,15.160000000000005,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,22,21,13,10,9,16,9,9,11,8,1,2,3,4,5
2c2e040b-45d4-4113-9490-d7d4b248e782,Malware,95,15.100000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,22,16,20,14,9,17,14,12,14,11,1,3,2,4,5
2f034815-a051-4bc8-9e14-6c0d28333a22,Malware,28,15.36000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,22,25,20,10,7,15,11,14,17,14,1,2,3,4,5
33ba1f1a-39d2-4b50-a7d9-8d96eafd8e7c,Malware,4345,15.160000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,11,25,21,8,8,9,16,20,11,15,4,2,1,5,3
372a0467-e6a7-447e-917c-6b77cef21a8e,Malware,966,15.600000000000005,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,18,21,16,12,7,18,15,13,8,14,2,1,3,5,4
39155418-d318-4f5a-80cd-d604c91eddce,Malware,868,15.080000000000005,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,18,16,20,6,9,19,17,14,10,13,1,3,2,5,4
3b73a910-8dd5-43fa-8409-d17010ea183e,Malware,83,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,19,24,15,7,8,14,15,11,15,12,2,1,3,4,5
464970ed-8397-4717-ab48-1d630e0dded6,Malware,2604,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,12,24,22,16,7,9,17,21,7,14,5,2,1,3,4
4dd6b15c-6a69-46f0-96e3-7a196bde86d4,Malware,98,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,20,19,21,9,11,19,16,16,9,18,1,3,2,5,4
4e99f27e-1ea8-4488-8d5c-66da6fcd8226,Malware,71,15.350000000000001,GPT-4o-mini,Finetuned,Qwen2.5 3B,GPT-4o,Qwen2.5 1.5B,17,14,19,10,16,0,0,0,0,0,2,4,1,5,3
50b80b6b-017c-482a-864b-c4f4aacb8404,Malware,32,15.0,Finetuned,Qwen2.5 3B,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,16,14,14,8,13,14,8,9,9,13,1,4,3,5,2
546b73c7-71dd-48da-80e5-1d20cc96cc74,Malware,3612,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,12,23,20,14,7,9,20,17,11,15,5,1,2,3,4
56946ac9-835f-4193-9535-62ae7c6a95e6,Malware,2208,15.280000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,9,23,19,6,14,9,18,15,12,16,5,1,2,4,3
5748ceab-9f95-46d4-8c9c-9075fedcb81f,Normal,29,15.100000000000001,GPT-4o-mini,Qwen2.5 1.5B,GPT-4o,Qwen2.5 3B,Finetuned,15,12,20,9,12,10,13,11,19,13,5,3,1,2,4
582d27a5-f168-4bad-b54f-bfb15da65c7f,Malware,3937,15.040000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,10,25,19,12,7,12,18,16,10,7,4,1,2,3,5
5bc1bfce-b55b-4f9f-ad9c-182109a7970d,Malware,24,15.36000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,21,20,23,18,16,14,24,19,6,16,3,1,2,5,4
5c8a1989-2d62-4831-9738-4bdafedde798,Malware,122,15.1,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,21,15,22,15,6,13,12,10,11,13,1,3,2,4,5
5e797747-df90-463e-8519-dbd1581ee712,Malware,110,15.1,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,24,24,19,11,12,12,10,11,15,13,1,2,3,4,5
61e1fa2a-e7ba-4658-880c-ae8cc1ff0373,Malware,79,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,19,22,21,15,10,14,9,8,10,11,1,2,3,4,5
65931926-7be0-45b4-9453-83f9f70e135b,Malware,1516,15.080000000000004,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,12,17,16,6,7,9,20,15,12,12,3,1,2,5,4
6d02d4c7-0b39-49cc-b412-390273467e52,Malware,105,15.650000000000002,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,16,20,22,7,13,13,10,18,12,7,3,2,1,5,4
795e8daa-a0d6-48ce-87b5-e0696cbe84bb,Malware,103,15.35,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,17,24,19,9,11,15,20,13,8,11,3,1,2,5,4
79fb5f38-b296-4179-818d-9adb544eff8d,Malware,110,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,15,19,18,17,9,12,16,12,11,10,4,1,2,3,5
