incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_cause_score,gpt_4o_cause_score,gpt_4o_mini_cause_score,qwen25_15b_cause_score,qwen25_3b_cause_score,finetuned_risk_score,gpt_4o_risk_score,gpt_4o_mini_risk_score,qwen25_15b_risk_score,qwen25_3b_risk_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_15b_position,qwen25_3b_position
05d41bc8-f429-41ae-a45f-334de54e2ed0,Malware,122,15.350000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,16,19,21,19,7,14,17,14,14,12,4,1,2,3,5
0e7511c8-4565-4f54-aa04-68daf53d6aff,Malware,3757,15.000000000000004,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,19,24,26,8,11,10,15,14,20,16,3,2,1,4,5
11200afd-8dac-4314-818a-5e778864d94b,Malware,94,15.35,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,24,20,17,14,10,14,13,12,10,17,1,2,3,5,4
178945c8-5e6d-4a58-b268-f3a592627504,Malware,4666,15.080000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,10,22,20,9,7,11,23,20,4,10,3,1,2,5,4
19561f12-3209-4afb-938f-8ca4c1be4ee6,Malware,132,15.350000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,20,17,23,8,7,14,17,12,13,15,2,3,1,5,4
1d4ee1b3-df0f-4483-886e-ab8b5ffca477,Malware,116,15.350000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,17,15,21,10,13,16,19,15,12,9,3,2,1,5,4
1ea0a1a2-bec7-46a0-9990-53ac0a943e50,Malware,85,15.100000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,17,19,22,15,12,0,0,0,0,0,3,2,1,4,5
1f0cb5a9-2c53-4e25-833f-39989f396c3a,Malware,96,15.150000000000002,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,20,22,16,10,11,17,18,16,17,14,2,1,3,4,5
20c9c604-96d1-49e1-9a97-e8a3566486a5,Malware,139,15.4,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,18,16,21,14,8,17,15,14,10,15,1,3,2,4,5
2270797e-b4e6-48a4-b43a-d2bc56c5e679,Malware,2586,15.080000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,14,19,18,3,7,14,20,18,9,15,3,1,2,5,4
230b97be-1b4b-4db1-9260-b3881d4f7340,Malware,147,15.25,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,18,22,17,10,12,13,12,15,9,6,3,1,2,4,5
27c08877-ebbd-4ee4-907b-bea0a16317d5,Malware,299,15.160000000000005,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,19,23,14,10,7,17,15,12,11,7,2,1,3,4,5
2c2e040b-45d4-4113-9490-d7d4b248e782,Malware,95,15.100000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,23,16,19,11,7,16,15,13,12,10,1,3,2,4,5
2f034815-a051-4bc8-9e14-6c0d28333a22,Malware,28,15.36000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,14,23,19,6,7,13,12,19,8,15,3,2,1,5,4
33ba1f1a-39d2-4b50-a7d9-8d96eafd8e7c,Malware,4345,15.160000000000004,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,12,25,20,7,6,8,18,21,13,16,4,1,2,5,3
372a0467-e6a7-447e-917c-6b77cef21a8e,Malware,966,15.600000000000005,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,19,25,21,9,7,16,13,18,9,12,3,2,1,5,4
39155418-d318-4f5a-80cd-d604c91eddce,Malware,868,15.080000000000005,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,15,17,16,7,8,19,15,16,8,13,1,3,2,5,4
3b73a910-8dd5-43fa-8409-d17010ea183e,Malware,83,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,17,20,17,12,9,12,13,12,17,15,2,1,3,4,5
464970ed-8397-4717-ab48-1d630e0dded6,Malware,2604,15.000000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,10,22,19,15,7,4,20,21,12,17,5,1,2,3,4
4dd6b15c-6a69-46f0-96e3-7a196bde86d4,Malware,98,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,24,19,21,17,12,20,16,16,13,20,1,3,2,5,4
4e99f27e-1ea8-4488-8d5c-66da6fcd8226,Malware,71,15.350000000000001,GPT-4o-mini,Qwen2.5 3B,Finetuned,GPT-4o,Qwen2.5 1.5B,12,11,17,9,14,15,14,14,10,13,3,4,1,5,2
50b80b6b-017c-482a-864b-c4f4aacb8404,Malware,32,15.0,GPT-4o,Qwen2.5 3B,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,13,18,11,7,17,12,15,15,19,12,5,1,3,4,2
546b73c7-71dd-48da-80e5-1d20cc96cc74,Malware,3612,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,10,23,20,12,6,10,19,21,9,20,5,1,2,4,3
56946ac9-835f-4193-9535-62ae7c6a95e6,Malware,2208,15.280000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,17,23,19,7,10,4,16,18,13,19,4,1,2,5,3
5748ceab-9f95-46d4-8c9c-9075fedcb81f,Normal,29,15.100000000000001,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,GPT-4o,16,11,18,9,12,9,7,6,13,10,1,5,2,4,3
582d27a5-f168-4bad-b54f-bfb15da65c7f,Malware,3937,15.040000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,11,26,22,16,10,4,24,21,18,12,5,1,2,3,4
5bc1bfce-b55b-4f9f-ad9c-182109a7970d,Malware,24,15.36000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,19,10,21,17,7,15,20,17,9,15,2,3,1,4,5
5c8a1989-2d62-4831-9738-4bdafedde798,Malware,122,15.1,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,19,16,20,17,8,11,16,13,14,15,4,2,1,3,5
5e797747-df90-463e-8519-dbd1581ee712,Malware,110,15.1,Finetuned,Qwen2.5 1.5B,GPT-4o,GPT-4o-mini,Qwen2.5 3B,24,21,18,14,7,11,9,9,18,13,1,3,4,2,5
61e1fa2a-e7ba-4658-880c-ae8cc1ff0373,Malware,79,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,21,22,18,12,9,16,15,15,19,12,1,2,3,4,5
65931926-7be0-45b4-9453-83f9f70e135b,Malware,1516,15.080000000000004,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,11,16,19,6,7,15,13,11,11,10,3,2,1,5,4
