incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,gpt4o_score,gpt4o_mini_score,qwen15b_score,qwen_score,gpt4o_position,gpt4o_mini_position,qwen15b_position,qwen_position
a991b910-f0f9-4ef9-ac66-647626ac4476,Malware,1365,15.360000000000007,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
46d6022c-b2f0-48b6-aedb-07b43f3020ad,Normal,552,15.200000000000008,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,8,7,,5,1,2,,3
c23bf87e-e04a-4651-b244-3e539e8753eb,Malware,1585,15.120000000000005,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3B,8,9,,6,2,1,,3
0862e668-7119-41d9-ba39-5034b49af9ec,Malware,1417,15.080000000000005,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,6,1,2,,3
4d20aaee-a17c-4425-8d5f-8ff36242e8f1,Malware,5962,15.520000000000005,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,6,1,2,,3
e0a2f709-3663-4aad-8075-77edd7695cff,Malware,33,15.0,Qwen2.5,Qwen2.5 3B,GPT-4o-mini,GPT-4o,5,7,,9,4,3,,1
13165ff7-b5c1-44b6-8778-ce30d9620d96,Malware,1090,15.320000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5,8,9,,4,2,1,,4
0f920d94-d22b-404a-aca1-0d27495bd10a,Malware,66,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,6,1,2,,4
add23978-a283-4f43-bf71-d594b2ddd46c,Malware,119,15.350000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5,8,9,,5,2,1,,4
298d32e9-8dfc-4574-aed2-aa4e48b968d0,Malware,107,15.100000000000001,GPT-4o-mini,Qwen2.5 3B,GPT-4o,Qwen2.5,7,9,,6,3,1,,4
5d04c820-9ea5-4764-84f6-5a7584f7cbcf,Normal,30,15.0,Qwen2.5,GPT-4o,GPT-4o-mini,Qwen2.5 3B,7,6,,8,2,3,,1
9fcdd530-e799-41d4-9739-1f72c9609623,Normal,559,15.200000000000008,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3B,7,8,,5,2,1,,3
6ea669a4-fcfe-42d4-8107-d7a841eacbe2,Malware,103,15.100000000000001,GPT-4o,Qwen2.5 3B,Qwen2.5,GPT-4o-mini,9,6,,7,1,4,,3
f63c7397-31d6-4e7b-a09e-9278cf95160b,Normal,1823,15.355999999999998,Qwen2.5 3B,GPT-4o,GPT-4o-mini,Qwen2.5,7,5,,4,2,3,,4
ef9ecaf8-c99e-49d7-8dbe-bc0816c897be,Normal,76,15.200000000000008,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,7,,3,1,2,,4
372a0467-e6a7-447e-917c-6b77cef21a8e,Malware,966,15.600000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,4,1,2,,4
ad424957-6070-4bdc-812e-2934823fc8c3,Normal,30,15.3,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,8,7,,5,1,2,,3
bdf610b0-b8a4-41eb-86b6-c9c7f5655b62,Normal,31,15.3,Qwen2.5,GPT-4o-mini,GPT-4o,Qwen2.5 3B,6,7,,8,3,2,,1
91d171dd-83a1-4fa6-ac1c-0aaa7ea0777b,Normal,29,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,8,7,,3,1,2,,4
b11c3f5b-2838-4b24-9eda-97e64da5f31f,Normal,1232,15.206000000000007,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5,7,8,,4,2,1,,4
56b85ca7-6c85-49ca-bd30-da193dd93cab,Normal,253,15.300000000000004,Qwen2.5,GPT-4o,GPT-4o-mini,Qwen2.5 3B,7,5,,8,2,3,,1
f13f31b1-5f68-4b69-a051-e72f6ac2d029,Malware,81,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,6,1,2,,3
93db351b-bfb1-4eff-9c6a-65e4df7e630c,Normal,1402,15.200000000000008,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,8,7,,5,1,2,,3
b1411186-df83-444e-b8b4-208153bb24ec,Malware,715,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
bea2a0d7-8879-4ab0-8a38-288635c22c33,Malware,3964,15.680000000000007,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5,8,9,,4,2,1,,4
55255ea5-5fea-4cd8-98a7-fcc19a3697eb,Normal,29,15.100000000000001,Qwen2.5,GPT-4o-mini,GPT-4o,Qwen2.5 3B,5,7,,8,3,2,,1
f3626386-2102-4f0d-9f35-0cbbd9f36b08,Malware,3609,15.000000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
c6f77f1e-46ce-4106-a814-990ef8429bcb,Malware,3150,15.080000000000005,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,6,1,2,,3
322435a0-21bf-4095-813f-1dd99564faa0,Malware,873,15.640000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
3b825d6a-1eae-4321-8aeb-82a39af10ce5,Malware,33,15.350000000000001,GPT-4o,Qwen2.5 3B,GPT-4o-mini,Qwen2.5,9,7,,5,1,3,,4
311e9654-c70d-48aa-b5fd-7cf8fd934d8d,Malware,125,15.350000000000001,GPT-4o,Qwen2.5 3B,GPT-4o-mini,Qwen2.5,9,6,,5,1,3,,4
033d4d42-2666-415f-808c-df91ec654790,Malware,5405,15.440000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,4,1,2,,4
8130246a-1c93-482e-a657-2d852a2d66fb,Malware,4952,15.560000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
878351ee-8ffc-4bf6-ba68-0cafb6c6fae3,Normal,166,15.200000000000005,Qwen2.5,Qwen2.5 3B,GPT-4o-mini,GPT-4o,4,5,,8,4,3,,1
90259357-d22b-4763-9a27-92c11c6a3e53,Malware,750,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,7,1,2,,3
5607229c-55d7-4186-87e9-e836ace00f88,Normal,1028,15.200000000000008,GPT-4o,Qwen2.5,GPT-4o-mini,Qwen2.5 3B,8,5,,6,1,3,,2
f1986bd6-d690-45b6-82b5-183c70410cc6,Normal,521,15.200000000000008,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,8,7,,4,1,2,,4
63c97487-975b-464a-8e38-58f9691e30c3,Malware,3925,15.360000000000005,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3B,8,9,,7,2,1,,3
5f6f48da-8412-4691-a47d-1c8a4e71b2bc,Malware,31,15.100000000000001,GPT-4o,Qwen2.5 3B,GPT-4o-mini,Qwen2.5,9,6,,4,1,3,,4
4fc45322-77d4-40f2-a2a4-cafffc31b7b5,Malware,2685,15.240000000000006,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3B,9,8,,6,1,2,,3
2efcf77c-1f1a-4074-a4f8-05c3557b78b4,Malware,203,15.0,Qwen2.5 3B,GPT-4o-mini,GPT-4o,Qwen2.5,6,8,,5,3,2,,4
793a3f26-73b3-49b1-86c3-ac78fb19de70,Normal,58,15.499999999999993,Qwen2.5,Qwen2.5 3B,GPT-4o-mini,GPT-4o,4,6,,8,4,3,,1
7fc20ce2-662b-48e5-96fa-4a3a23784d00,Normal,30,15.3,Qwen2.5,GPT-4o-mini,GPT-4o,Qwen2.5 3B,6,7,,8,3,2,,1
66860469-34c1-4a72-a4f7-888528d8918f,Malware,121,15.350000000000001,GPT-4o-mini,Qwen2.5 3B,GPT-4o,Qwen2.5,7,9,,5,3,1,,4
9bcb9d22-f168-4f85-8d2c-20d33507a374,Malware,3302,15.360000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5,9,8,,5,1,2,,4
